Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Indonesia,2023,5.694869518280029,9.465581893920898,0.7805444598197937,63.29999923706055,0.9004279375076294,0.5895543694496155,0.8662374019622803,0.813895046710968,0.2894721627235412
Iran,2023,5.0042805671691895,9.650888442993164,0.8094788789749146,66.9000015258789,0.6154001355171204,0.2536029815673828,0.7642531394958496,0.5333526134490967,0.4246327579021454
Iraq,2023,5.475371837615967,9.093181610107422,0.7341683506965637,64.5999984741211,0.6584085822105408,-0.0174491107463836,0.8510727882385254,0.5865992903709412,0.4686653316020965
Ireland,2023,6.816531181335449,11.67558765411377,0.921253502368927,71.5,0.9027664065361024,0.1821778863668441,0.3733170926570892,0.741769552230835,0.2453001886606216
Israel,2023,6.783402442932129,10.707268714904783,0.9518911838531494,73.0,0.797024130821228,0.1461836844682693,0.6355089545249939,0.4842758178710937,0.5159156918525696
Italy,2023,6.24511194229126,10.702875137329102,0.8510008454322815,72.19999694824219,0.6985619068145752,-0.0525361262261867,0.8190128803253174,0.6359078288078308,0.2934224307537079
Ivory Coast,2023,5.336585521697998,8.655770301818848,0.6227868795394897,57.099998474121094,0.7531749606132507,-0.0574532933533191,0.6759107112884521,0.6695907711982727,0.3065430819988251
Jamaica,2022,5.870189189910889,9.211524963378906,0.8680406808853149,66.5999984741211,0.8742675185203552,-0.0911594778299331,0.9096440672874452,0.7183552980422974,0.2689413428306579
Japan,2023,5.910115718841553,10.653786659240724,0.8422733545303345,74.5999984741211,0.7769917845726013,-0.2219926565885543,0.5936000943183899,0.6376104354858398,0.1779548674821853
Jordan,2023,4.2920331954956055,9.151368141174316,0.7207711935043335,67.5999984741211,0.7544203996658325,-0.1433659493923187,0.6512880325317383,0.5183835625648499,0.4417031705379486
Kazakhstan,2023,6.299432754516602,10.171749114990234,0.9290642738342284,66.5999984741211,0.9007052779197693,0.0495081022381782,0.8120614886283875,0.6262810230255127,0.113802433013916
Kenya,2023,4.49622917175293,8.523473739624023,0.702744722366333,59.29999923706055,0.735895037651062,0.3162458539009094,0.7997993230819702,0.7556939125061035,0.2446381896734237
Kosovo,2023,6.877792835235596,9.480271339416504,0.807212769985199,,0.899681031703949,0.2851782441139221,0.8109320402145386,0.6821652054786682,0.1397805660963058
Kuwait,2023,7.130284309387207,10.811559677124023,0.890011191368103,70.0,0.897539496421814,0.1360409408807754,,0.7294350862503052,0.2069776952266693
Kyrgyzstan,2023,5.909509181976318,8.57337474822998,0.9460276365280152,67.9000015258789,0.9432868361473083,0.1450849771499633,0.8990190029144287,0.6814092397689819,0.1653883904218673
Laos,2023,5.486371994018555,9.005264282226562,0.6783856749534607,61.70000076293945,0.9041768312454224,0.0993717238306999,0.7238489985466003,0.6792017817497253,0.3350663185119629
Latvia,2023,6.295644760131836,10.407550811767578,0.9319729804992676,66.5999984741211,0.8155224919319153,0.0588938035070896,0.7998623251914978,0.6712015271186829,0.256692886352539
Lebanon,2023,3.5879082679748535,9.471325874328612,0.6856455206871033,66.30000305175781,0.4992057979106903,-0.1023353114724159,0.8954193592071533,0.3731265664100647,0.3852948248386383
Lesotho,2022,3.18616247177124,7.732828140258789,0.6795666813850403,46.150001525878906,0.7091029286384583,-0.1024130061268806,0.8150301575660706,0.7094799876213074,0.2880189418792724
Liberia,2023,4.49391508102417,7.308547019958496,0.6295098662376404,57.29999923706055,0.7197529077529907,0.038619264960289,0.8341772556304932,0.6083629131317139,0.4283419549465179
Libya,2023,5.9702887535095215,,0.7481565475463867,66.0999984741211,0.7622228860855103,,0.6437333226203918,0.5848360061645508,0.3720777630805969
Lithuania,2023,6.552654266357422,10.575328826904297,0.8813190460205078,68.0999984741211,0.7339749932289124,-0.2321668267250061,0.7511261105537415,0.493286520242691,0.2005866467952728
Luxembourg,2023,7.016062259674072,11.648711204528809,0.8791953325271606,71.69999694824219,0.9108132719993592,0.0334397703409194,0.3432107865810394,0.7507004737854004,0.1944953054189682
Madagascar,2023,4.433000564575195,7.332643032073975,0.6924046874046326,58.29999923706055,0.503715991973877,0.0958645492792129,0.7835307121276855,0.7184674143791199,0.3891581594944
Malawi,2023,3.272091865539551,7.278899192810059,0.4698515236377716,59.29999923706055,0.7383722066879272,0.0140711655840277,0.7452696561813354,0.5199799537658691,0.3383975625038147
Malaysia,2023,5.868102073669434,10.28280258178711,0.7785583138465881,65.5999984741211,0.9648317098617554,0.1535679847002029,0.753640353679657,0.7609888911247253,0.1948806941509246
Maldives,2018,5.197574615478516,9.892906188964844,0.9133150577545166,69.7750015258789,0.8547592759132385,0.0134495086967945,,,
Mali,2023,4.369976043701172,7.673252105712891,0.6410852670669556,56.20000076293945,0.775947093963623,-0.0434147082269191,0.7896780371665955,0.6601701378822327,0.3244743645191192
Malta,2023,6.294854640960693,,0.911656141281128,71.69999694824219,0.850814700126648,,0.7800309062004089,0.6438156366348267,0.3613356053829193
Mauritania,2023,4.292047500610352,8.62022876739502,0.6061500310897827,60.70000076293945,0.5395804047584534,0.0183215159922838,0.6690117716789246,0.7075034976005554,0.3293444514274597
Mauritius,2023,5.759169101715088,10.082743644714355,0.8675780296325684,63.79999923706055,0.796654462814331,-0.0021531225647777,0.7689784169197083,0.6637082099914551,0.1600121110677719
Mexico,2023,7.005731582641602,9.900242805480955,0.8684161305427551,65.80000305175781,0.8700609803199768,-0.1237586513161659,0.7558702826499939,0.809243381023407,0.2331578880548477
Moldova,2023,5.801368236541748,9.491739273071287,0.8423149585723877,66.0999984741211,0.844444751739502,-0.1566391885280609,0.8600497245788574,0.5777193903923035,0.250910073518753
Mongolia,2023,5.579622745513916,9.43319320678711,0.9378772377967834,60.70000076293945,0.6992111206054688,0.2201180309057235,0.871100664138794,0.5451667308807373,0.1974054276943206
Montenegro,2023,5.813005447387695,10.04067611694336,0.8531356453895569,67.4000015258789,0.7988186478614807,-0.0660146921873092,0.7056121826171875,0.4808034002780914,0.317708820104599
Morocco,2023,4.486514091491699,9.0094633102417,0.4995186030864715,64.0999984741211,0.8208004832267761,-0.0937033295631408,0.831204354763031,0.5487037301063538,0.4150283634662628
Mozambique,2023,5.704499244689941,7.14727783203125,0.7009750008583069,52.20000076293945,0.8670544028282166,0.0712420642375946,0.6777174472808838,0.6251108646392822,0.3347492218017578
Myanmar,2023,4.390633583068848,8.347352027893066,0.6845864057540894,62.20000076293945,0.695294976234436,0.5478011965751648,0.6863807439804077,0.6340785026550293,0.3577791750431061
Namibia,2023,5.05532169342041,9.16740894317627,0.8520726561546326,57.599998474121094,0.6739392876625061,-0.1127211302518844,0.8730018734931946,0.6347567439079285,0.2078790217638015
Nepal,2023,5.388708114624023,8.31812572479248,0.7494574785232544,62.400001525878906,0.7646791934967041,0.1835504323244094,0.7922512888908386,0.4605893492698669,0.3503893911838531
Netherlands,2023,7.254793643951416,10.97706413269043,0.9149224758148192,71.69999694824219,0.8472867012023926,0.2225408405065536,0.4239082634449005,0.6927058696746826,0.2016946226358413
New Zealand,2023,6.975955486297607,10.719568252563477,0.932887077331543,70.5,0.8766084313392639,0.181391641497612,0.3036558032035827,0.7381334900856018,0.2285827100276947
Nicaragua,2023,6.362124919891357,8.685056686401367,0.8362918496131897,65.80000305175781,0.9064910411834716,-0.0081497048959136,0.5316507816314697,0.7721434235572815,0.3399796485900879
Niger,2023,4.6086578369140625,7.181248664855957,0.6379470229148865,56.900001525878906,0.7669633030891418,0.0290120486170053,,0.7472664713859558,0.4166373312473297
Nigeria,2023,4.8689374923706055,8.513705253601074,0.7808888554573059,55.70000076293945,0.7201213836669922,0.2093175053596496,0.8765022158622742,0.7211174368858337,0.266198456287384
North Macedonia,2023,5.403024673461914,9.775726318359377,0.8829155564308167,66.9000015258789,0.738114595413208,0.1233430951833725,0.9171363115310668,0.5174286961555481,0.2718746960163116
Norway,2023,7.248675346374512,11.124796867370604,0.9515860080718994,71.5999984741211,0.937649428844452,0.2194931507110595,0.2448502480983734,0.7564838528633118,0.2283376306295395
Oman,2011,6.852982044219971,10.538619995117188,,62.34000015258789,0.9162930250167848,0.007792237214744,,,0.2951641082763672
Pakistan,2023,4.549314498901367,8.588458061218262,0.5530141592025757,58.0,0.6613704562187195,0.0704244077205658,0.8893992900848389,0.5040336847305298,0.4173682630062103
Panama,2023,6.543289661407471,10.4552001953125,0.8872889280319214,69.0999984741211,0.8519265055656433,-0.1468104124069214,0.8705905079841614,0.8285312652587891,0.2571079730987549
Paraguay,2023,6.2137885093688965,9.548639297485352,0.8886208534240723,66.0,0.9016361832618712,-0.0039585563354194,0.835490345954895,0.8325867056846619,0.2402810007333755
Peru,2023,5.935666084289551,9.459396362304688,0.7865179777145386,70.19999694824219,0.7569955587387085,-0.0606630742549896,0.9194803833961488,0.7648443579673767,0.3703694343566894
Philippines,2023,6.183511734008789,9.101679801940918,0.7955292463302612,62.099998474121094,0.9318832159042358,-0.0380380190908908,0.7679218053817749,0.800451934337616,0.3244096636772156
Poland,2023,6.684652805328369,10.526970863342283,0.8900729417800903,69.4000015258789,0.7751436233520508,-0.2321598082780838,0.6617071032524109,0.5556963086128235,0.1551312655210495
Portugal,2023,5.954010963439941,10.504261016845703,0.8948500156402588,71.5,0.8465991616249084,-0.1755226999521255,0.8891578912734985,0.6614094376564026,0.3088172376155853
Qatar,2015,6.3745293617248535,11.532453536987305,,66.4000015258789,,,,,
Romania,2023,6.488589763641357,10.430639266967772,0.825630784034729,67.30000305175781,0.8485971689224243,-0.2020250856876373,0.9046993851661682,0.6279113292694092,0.2709790170192718
Russia,2023,5.86481237411499,10.208745956420898,0.8537548780441284,65.69999694824219,0.7499661445617676,0.0555553510785102,0.7334346771240234,0.6161447167396545,0.1904026120901107
Rwanda,2019,3.268152236938477,7.691963195800781,0.4894582331180572,60.20000076293945,0.868999183177948,0.0601199902594089,0.1679708957672119,0.7167310118675232,0.4176676869392395
Saudi Arabia,2023,6.953373908996582,10.829442977905272,0.8844454884529114,64.80000305175781,,0.0275029204785823,,0.736897885799408,0.2398626655340194
Senegal,2023,5.0927252769470215,8.199542999267578,0.6684878468513489,60.599998474121094,0.7976100444793701,0.0480201132595539,0.8359814286231995,0.8248271942138672,0.2583414614200592
Serbia,2023,6.441013813018799,9.961326599121094,0.8949272036552429,67.4000015258789,0.8065032362937927,0.0848912745714187,0.7816974520683289,0.5262706875801086,0.2059062719345092
Sierra Leone,2023,3.4665777683258057,7.411620616912842,0.6014139652252197,56.099998474121094,0.693507194519043,0.1014282703399658,0.8663052916526794,0.5044357776641846,0.4299894571304321
Singapore,2023,6.653942108154297,,0.9163257479667664,74.0,0.8612334132194519,,0.1525430530309677,0.6671569347381592,0.1904855072498321
Slovakia,2023,6.26052188873291,10.424976348876951,0.9412627816200256,69.4000015258789,0.7531772255897522,-0.1357291340827942,0.8252387046813965,0.6467652916908264,0.2350347638130188
Slovenia,2023,6.7457685470581055,10.664344787597656,0.91065514087677,71.4000015258789,0.9314993619918824,0.0310815759003162,0.7500281929969788,0.6145375967025757,0.2564457654953003
Somalia,2016,4.667941093444824,6.981190204620361,0.5944165587425232,48.5,0.9173228144645692,0.0689851492643356,0.440801739692688,0.7727396488189697,0.1932822316884994
Somaliland region,2012,5.057314395904541,,0.786291241645813,,0.7582190036773682,,0.3338317275047302,0.6867316365242004,0.1524282246828079
South Africa,2023,5.075719356536865,9.502883911132812,0.8392820954322815,58.29999923706055,0.7476697564125061,-0.1092308685183525,0.8614355325698853,0.7078587412834167,0.2547310888767242
South Korea,2023,6.111918926239014,10.741768836975098,0.7994413375854492,74.19999694824219,0.7623430490493774,-0.0036658442113548,0.7135888338088989,0.6034004092216492,0.2453236579895019
South Sudan,2017,2.816622495651245,,0.556822657585144,53.349998474121094,0.4560110867023468,,0.7612696290016174,0.5649992823600769,0.5173637866973877
Spain,2023,6.456033229827881,10.608960151672363,0.9121345281600952,72.5999984741211,0.778683066368103,-0.0038998248055577,0.674821138381958,0.6545935869216919,0.3251374661922455
Sri Lanka,2023,3.602454900741577,9.364070892333984,0.790229856967926,67.4000015258789,0.7539072036743164,0.0504892766475677,0.9218783974647522,0.709381639957428,0.352604866027832
State of Palestine,2023,4.851185321807861,,0.831444501876831,,0.7077621221542358,,0.8081274032592773,0.5796462893486023,0.3782921731472015
Sudan,2014,4.138672828674316,8.471488952636719,0.8106155395507812,58.65999984741211,0.3900958001613617,-0.0797509253025055,0.793785035610199,0.4613275229930877,0.3027249872684479
Suriname,2012,6.269286632537842,9.873830795288086,0.7972620725631714,62.84000015258789,0.8854884505271912,-0.0884169191122055,0.7512828707695007,0.7301676869392395,0.2503649890422821
Sweden,2023,7.1607770919799805,10.90213680267334,0.9266175627708436,72.4000015258789,0.926378607749939,0.1466682404279709,0.2530737817287445,0.7388259768486023,0.19444540143013
