Country,Year_Life_expectancy,Life expectancy,Year_Life_Ladder,Life Ladder,Crime Rate,Year_Unemployment_Rate,Unemployment_Rate,Water_Quality,gdpPerCapita,Cost of Living Index,continent
Somalia,2015.0,55.0,2016.0,4.667941093444824,66.7,2023.0,19.03,,673.5685878416766,,Africa
Somaliland region,,,2012.0,5.057314395904541,,,,,,,
South Africa,2015.0,62.9,2023.0,5.075719356536865,75.5,2023.0,27.99,25.5,5831.109625167169,34.5,Africa
South Korea,,,2023.0,6.111918926239014,25.3,,,90.1,34049.33716955157,60.1,Asia
South Sudan,2015.0,57.3,2017.0,2.816622495651245,,2023.0,12.27,,545.6570155902004,,Africa
Spain,2015.0,82.8,2023.0,6.456033229827881,35.8,2023.0,12.14,93.6,34378.89397939909,47.3,Europe
Sri Lanka,2015.0,74.9,2023.0,3.602454900741577,42.2,2023.0,6.36,52.5,3297.6289409442684,34.6,Asia
State of Palestine,,,2023.0,4.851185321807861,,,,,,,
Sudan,2015.0,64.1,2014.0,4.138672828674316,45.5,2023.0,11.45,41.0,532.5179884635969,,Africa
Suriname,2015.0,71.6,2012.0,6.269286632537842,,2023.0,7.7,41.4,6836.04678838203,,South America
Swaziland,2015.0,58.9,,,,,,,,,
Sweden,2015.0,82.4,2023.0,7.1607770919799805,48.1,2023.0,7.59,97.7,58739.32308852644,59.3,Europe
Switzerland,2015.0,83.4,2023.0,6.968832969665527,24.9,2023.0,4.05,97.9,105184.94773581647,101.1,Europe
Syria,,,2015.0,3.4619128704071045,69.1,2023.0,13.54,,753.6963781978535,24.0,Asia
Syrian Arab Republic,2015.0,64.5,,,,,,,,,
Taiwan,,,,,16.1,2019.0,3.73,70.1,34589.385715516495,45.2,Asia
Taiwan Province of China,,,2023.0,6.655351638793945,,,,,,,
Tajikistan,2015.0,69.7,2023.0,5.3794708251953125,54.4,2023.0,6.98,33.3,1223.0310927305518,,Asia
Tanzania,,,2023.0,4.042028427124023,38.3,2023.0,2.61,21.4,1161.0963795321484,23.8,Africa
Thailand,2015.0,74.9,2023.0,6.282364368438721,,2023.0,0.91,44.6,7658.787743483842,34.1,Asia
The former Yugoslav republic of Macedonia,2015.0,75.7,,,,,,,,,
Timor-Leste,2015.0,68.3,,,,2023.0,1.52,34.1,1422.2069910897876,,Asia
Togo,2015.0,59.9,2023.0,4.364938735961914,,2023.0,2.05,18.2,1033.2897541207578,,Africa
Tokelau,,,,,,2015.0,2.0,,,,
Tonga,2015.0,73.5,,,,2023.0,2.3,49.7,5577.1538276937845,,Oceania
Total,,,,,46.597187976672046,,,,,,
Trinidad And Tobago,,,,,,,,,,52.6,
Trinidad and Tobago,2015.0,71.2,2017.0,6.191859722137451,70.8,2023.0,4.21,58.4,18812.42621602621,,North America
Tunisia,2015.0,75.3,2023.0,4.505141258239746,44.7,2023.0,15.11,61.1,4456.1011965366415,28.1,Africa
Turkey,2015.0,75.8,,,40.2,,,61.6,12730.211789130002,37.4,Asia
Turkey (Turkiye),,,,,,2023.0,9.41,,,,
Turkmenistan,2015.0,66.3,2019.0,5.474299907684326,,2023.0,4.12,61.4,10927.480152111548,,Asia
Turks and Caicos Islands,,,,,,,,,24472.117760825186,,North America
Tuvalu,,,,,,,,,6842.2143893842,,Oceania
